url_path,views_total,views_unique
/TheBinaryBjorn/desktop-companion,6,1
/TheBinaryBjorn/desktop-companion/tree/feat/wakeword-detection,2,1
/TheBinaryBjorn/desktop-companion/actions,1,1
/TheBinaryBjorn/desktop-companion/actions/runs/24337064061,1,1
/TheBinaryBjorn/desktop-companion/actions/runs/24337064061/job/71056442825,1,1
/TheBinaryBjorn/desktop-companion/actions/runs/24337262209,1,1
/TheBinaryBjorn/desktop-companion/actions/runs/24337262209/job/71057103490,1,1
/TheBinaryBjorn/desktop-companion/actions/workflows/ci.yml,1,1
/TheBinaryBjorn/desktop-companion/blob/github-repo-stats/TheBinaryBjorn/desktop-companion/latest-report/report.pdf,1,1
/TheBinaryBjorn/desktop-companion/compare/feat/wakeword-detection,1,1
